fitness_avg_pic,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time
,"TS_CORR_20(ta_dema_21(ta_rocr_14(h)), ori_ta_ad)",3,5,alpha_71,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"log(ta_mfi_14(ts_range_20(taker_vol_lsr), ta_rocp_25(sub(fm30, oi_ccy)), ta_minus_di_25(l_ts_day_min_40, close_macd, stdevrate), v_rsi_6_obv))",4,13,alpha_72,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_argmax_10(TS_CORR_20(v_power_a, ta_aroonosc_25(ta_rocr_25(ta_trix_21(lgp_shortcut_illiq_6)), sar_close)))",5,8,alpha_73,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TA_SAR(ta_tema_21(ts_argmax_5(sin(ts_delta_17(v_cci_25_obv)))), ma55_c)",5,7,alpha_74,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_delta_3(inv(ta_tema_8(TA_SAR(sar_close, o))))",4,6,alpha_75,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ts_sma_21(TS_COV_40(ts_mean_return_10(tanh(inv(v_ts_argrange_10))), ts_rank_20(ts_wma_55(ts_skew_40(ts_delta_17(v_power_a))))))",6,11,alpha_76,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_rocp_14(ts_sma_55(ts_skew_10(abs(ts_delta_17(v_rsi_12_obv))))),5,6,alpha_77,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ts_std_40(ta_ema_55(v_power_a)), ma15_c)",3,5,alpha_78,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_dx_25(ta_ema_55(ma8_c), ta_lr_slope_5(v_cci_25_obv), ma55_c)",2,6,alpha_79,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ts_min_20(ts_sum_3(v_rsi_12_obv)), ta_tsf_5(ta_rsi_24(TA_TRANGE(kdj_d, kdj_k, c_power_c))))",4,10,alpha_80,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ts_rank_10(ts_rank_20(ts_wma_21(ts_lag_8(ts_kurt_10(sarext))))),5,6,alpha_81,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_rocp_14(TA_BOP(fm40, v_rsi_6_obv, lgp_shortcut_illiq_6, ori_rsi_6))",2,6,alpha_82,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_tema_55(TS_CORR_40(ta_dx_25(TS_CORR_40(ta_beta_5(v_rsi_6_sum, obv_v), ta_trix_21(sarext)), ts_lag_3(v_rsi_6_sum), ts_range_20(v_ts_sma_21)), ts_min_5(inv(ori_ta_ad))))",5,16,alpha_83,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,ta_lr_angle_20(ta_dema_55(ts_wma_21(ts_wma_8(c_power_c)))),4,5,alpha_84,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"TS_COV_20(ta_beta_10(ta_mom_12(ts_min_10(o_ts_argmin_10)), ta_beta_5(elu(ori_rsi_12), TS_CORR_40(ori_ta_obv, l_ts_argrange_5))), ts_lag_17(ts_delta_3(v_bop_sum)))",4,14,alpha_85,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"tanh(ta_dema_55(tan(ts_delta_8(ta_atr_14(v_ts_std_20, v_cmo_14_obv, taker_vol_lsr)))))",5,8,alpha_86,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
,"ta_mfi_25(TS_COV_20(ta_tema_21(ta_cmo_25(ta_cci_14(ori_ta_bop, v_rsi_12_sum, l_ts_argrange_5))), ts_wma_21(log(ts_sma_8(vol_ccy)))), ts_wma_55(ts_lag_17(ta_tsf_10(ta_cci_14(ori_rsi_12, l_ts_argmax_20, ori_trix_8)))), ta_minus_di_25(tanh(ts_delta_17(ta_rsi_24(obv_v))), ta_dema_55(ts_range_20(ts_range_20(ori_ta_ad))), ta_tema_8(ta_cmo_25(ts_kurt_40(m_line)))), ta_tsf_20(ta_beta_5(ta_cmo_14(ta_rocr_25(sarext)), ta_lr_slope_20(ts_argmin_20(v_bop_sum)))))",5,40,alpha_87,btcusdt,30min,1,20211201,20240101,20240101,20240910,avg_pic,20241120012152
